state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Andhra Pradesh,Large,2025-26,2025,8,Aug,5,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Aug2025-068c9532e4b64f1-53918245.pdf,2026-03-01T10:01:30.655520
Andhra Pradesh,Large,2025-26,2025,10,October,7,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Oct-2025-0691c174d58f602-23497304.pdf,2026-03-01T10:01:36.800146
Andhra Pradesh,Large,2025-26,2025,11,November,8,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-2025-0693ffd55568e30-78479768.pdf,2026-03-01T10:01:39.881817
Andhra Pradesh,Large,2025-26,2025,12,Dec,9,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-DEC-2025-06978a83158ad02-95567203.pdf,2026-03-01T10:01:42.875485
Andhra Pradesh,Large,2025-26,2026,1,January,10,borrowings,Borrowings & Other Liabilities,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-JANUARY-2026-0699460be0c7b78-67687389.pdf,2026-03-01T10:01:45.597316
Andhra Pradesh,Large,2024-25,2024,4,April,1,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-April-MKI-2024-06673f1ef286882-98187593.pdf,2026-03-01T10:01:48.421935
Andhra Pradesh,Large,2024-25,2024,6,June,3,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JUNE-2024-0669a29d62c52a5-99396257.pdf,2026-03-01T10:01:58.151065
Andhra Pradesh,Large,2024-25,2024,7,July,4,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JULY-2024-066c6db1b258be4-18436783.pdf,2026-03-01T10:02:01.098735
Andhra Pradesh,Large,2024-25,2024,8,August,5,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Aug-2024-pdf-066eabd88c3a9f1-85719571.pdf,2026-03-01T10:02:03.736805
Andhra Pradesh,Large,2024-25,2024,9,September,6,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-SEP-2024-0671235d00bb119-50961796.pdf,2026-03-01T10:02:06.500074
Andhra Pradesh,Large,2024-25,2024,10,October,7,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-OCT-2024-06735e323b73aa9-57427635.pdf,2026-03-01T10:02:09.436225
Andhra Pradesh,Large,2024-25,2024,11,November,8,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-Nov-2024-067654001a86802-62774639.pdf,2026-03-01T10:02:12.311354
Andhra Pradesh,Large,2024-25,2024,12,December,9,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-DEC-2024-0678e4929a26950-14469523.pdf,2026-03-01T10:02:16.011041
Andhra Pradesh,Large,2024-25,2025,1,January,10,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JAN-2025-0682342837ccc17-03932126.pdf,2026-03-01T10:02:18.811224
Andhra Pradesh,Large,2024-25,2025,2,February,11,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-FEB-2025-067d964048f0690-77996518.pdf,2026-03-01T10:02:21.802956
Andhra Pradesh,Large,2025-26,2025,4,April,1,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APR-2025-0682c12169c8209-23080186.pdf,2026-03-01T10:01:15.924333
Andhra Pradesh,Large,2025-26,2025,5,May,2,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-May-2025-068514fae8b9b69-85138769.pdf,2026-03-01T10:01:18.663079
Andhra Pradesh,Large,2025-26,2025,6,June,3,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-June-2025-06878de8b057f67-40941423.pdf,2026-03-01T10:01:22.060589
Andhra Pradesh,Large,2025-26,2025,7,July,4,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-0689db4679c8b50-96497922.pdf,2026-03-01T10:01:24.620355
Andhra Pradesh,Large,2025-26,2025,7,July,4,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-revised-068a31a53d3be62-35480581.pdf,2026-03-01T10:01:27.923636
Andhra Pradesh,Large,2025-26,2025,8,Aug,5,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Aug2025-068c9532e4b64f1-53918245.pdf,2026-03-01T10:01:30.655520
Andhra Pradesh,Large,2025-26,2025,10,October,7,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Oct-2025-0691c174d58f602-23497304.pdf,2026-03-01T10:01:36.800146
Andhra Pradesh,Large,2025-26,2025,11,November,8,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-2025-0693ffd55568e30-78479768.pdf,2026-03-01T10:01:39.881817
Andhra Pradesh,Large,2025-26,2025,12,Dec,9,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-DEC-2025-06978a83158ad02-95567203.pdf,2026-03-01T10:01:42.875485
Andhra Pradesh,Large,2025-26,2026,1,January,10,capital_expenditure,Capital Expenditure,Expenditure,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-JANUARY-2026-0699460be0c7b78-67687389.pdf,2026-03-01T10:01:45.597316
Andhra Pradesh,Large,2024-25,2024,4,April,1,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-April-MKI-2024-06673f1ef286882-98187593.pdf,2026-03-01T10:01:48.421935
Andhra Pradesh,Large,2024-25,2024,6,June,3,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JUNE-2024-0669a29d62c52a5-99396257.pdf,2026-03-01T10:01:58.151065
Andhra Pradesh,Large,2024-25,2024,7,July,4,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JULY-2024-066c6db1b258be4-18436783.pdf,2026-03-01T10:02:01.098735
Andhra Pradesh,Large,2024-25,2024,8,August,5,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Aug-2024-pdf-066eabd88c3a9f1-85719571.pdf,2026-03-01T10:02:03.736805
Andhra Pradesh,Large,2024-25,2024,9,September,6,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-SEP-2024-0671235d00bb119-50961796.pdf,2026-03-01T10:02:06.500074
Andhra Pradesh,Large,2024-25,2024,10,October,7,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-OCT-2024-06735e323b73aa9-57427635.pdf,2026-03-01T10:02:09.436225
Andhra Pradesh,Large,2024-25,2024,11,November,8,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-Nov-2024-067654001a86802-62774639.pdf,2026-03-01T10:02:12.311354
Andhra Pradesh,Large,2024-25,2024,12,December,9,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-DEC-2024-0678e4929a26950-14469523.pdf,2026-03-01T10:02:16.011041
Andhra Pradesh,Large,2024-25,2025,1,January,10,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JAN-2025-0682342837ccc17-03932126.pdf,2026-03-01T10:02:18.811224
Andhra Pradesh,Large,2024-25,2025,2,February,11,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-FEB-2025-067d964048f0690-77996518.pdf,2026-03-01T10:02:21.802956
Andhra Pradesh,Large,2025-26,2025,4,April,1,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APR-2025-0682c12169c8209-23080186.pdf,2026-03-01T10:01:15.924333
Andhra Pradesh,Large,2025-26,2025,5,May,2,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-May-2025-068514fae8b9b69-85138769.pdf,2026-03-01T10:01:18.663079
Andhra Pradesh,Large,2025-26,2025,6,June,3,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-June-2025-06878de8b057f67-40941423.pdf,2026-03-01T10:01:22.060589
Andhra Pradesh,Large,2025-26,2025,7,July,4,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-0689db4679c8b50-96497922.pdf,2026-03-01T10:01:24.620355
Andhra Pradesh,Large,2025-26,2025,7,July,4,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-revised-068a31a53d3be62-35480581.pdf,2026-03-01T10:01:27.923636
Andhra Pradesh,Large,2025-26,2025,8,Aug,5,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Aug2025-068c9532e4b64f1-53918245.pdf,2026-03-01T10:01:30.655520
Andhra Pradesh,Large,2025-26,2025,10,October,7,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Oct-2025-0691c174d58f602-23497304.pdf,2026-03-01T10:01:36.800146
Andhra Pradesh,Large,2025-26,2025,11,November,8,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-2025-0693ffd55568e30-78479768.pdf,2026-03-01T10:01:39.881817
Andhra Pradesh,Large,2025-26,2025,12,Dec,9,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-DEC-2025-06978a83158ad02-95567203.pdf,2026-03-01T10:01:42.875485
Andhra Pradesh,Large,2025-26,2026,1,January,10,capital_receipts,Capital Receipts,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-JANUARY-2026-0699460be0c7b78-67687389.pdf,2026-03-01T10:01:45.597316
Andhra Pradesh,Large,2024-25,2024,4,April,1,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-April-MKI-2024-06673f1ef286882-98187593.pdf,2026-03-01T10:01:48.421935
Andhra Pradesh,Large,2024-25,2024,6,June,3,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JUNE-2024-0669a29d62c52a5-99396257.pdf,2026-03-01T10:01:58.151065
Andhra Pradesh,Large,2024-25,2024,7,July,4,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JULY-2024-066c6db1b258be4-18436783.pdf,2026-03-01T10:02:01.098735
Andhra Pradesh,Large,2024-25,2024,8,August,5,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Aug-2024-pdf-066eabd88c3a9f1-85719571.pdf,2026-03-01T10:02:03.736805
Andhra Pradesh,Large,2024-25,2024,9,September,6,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-SEP-2024-0671235d00bb119-50961796.pdf,2026-03-01T10:02:06.500074
Andhra Pradesh,Large,2024-25,2024,10,October,7,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-OCT-2024-06735e323b73aa9-57427635.pdf,2026-03-01T10:02:09.436225
Andhra Pradesh,Large,2024-25,2024,11,November,8,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-Nov-2024-067654001a86802-62774639.pdf,2026-03-01T10:02:12.311354
Andhra Pradesh,Large,2024-25,2024,12,December,9,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-DEC-2024-0678e4929a26950-14469523.pdf,2026-03-01T10:02:16.011041
Andhra Pradesh,Large,2024-25,2025,1,January,10,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JAN-2025-0682342837ccc17-03932126.pdf,2026-03-01T10:02:18.811224
Andhra Pradesh,Large,2024-25,2025,2,February,11,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-FEB-2025-067d964048f0690-77996518.pdf,2026-03-01T10:02:21.802956
Andhra Pradesh,Large,2025-26,2025,4,April,1,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APR-2025-0682c12169c8209-23080186.pdf,2026-03-01T10:01:15.924333
Andhra Pradesh,Large,2025-26,2025,5,May,2,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-May-2025-068514fae8b9b69-85138769.pdf,2026-03-01T10:01:18.663079
Andhra Pradesh,Large,2025-26,2025,6,June,3,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-June-2025-06878de8b057f67-40941423.pdf,2026-03-01T10:01:22.060589
Andhra Pradesh,Large,2025-26,2025,7,July,4,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-0689db4679c8b50-96497922.pdf,2026-03-01T10:01:24.620355
Andhra Pradesh,Large,2025-26,2025,7,July,4,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-revised-068a31a53d3be62-35480581.pdf,2026-03-01T10:01:27.923636
Andhra Pradesh,Large,2025-26,2025,8,Aug,5,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Aug2025-068c9532e4b64f1-53918245.pdf,2026-03-01T10:01:30.655520
Andhra Pradesh,Large,2025-26,2025,10,October,7,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Oct-2025-0691c174d58f602-23497304.pdf,2026-03-01T10:01:36.800146
Andhra Pradesh,Large,2025-26,2025,11,November,8,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-2025-0693ffd55568e30-78479768.pdf,2026-03-01T10:01:39.881817
Andhra Pradesh,Large,2025-26,2025,12,Dec,9,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-DEC-2025-06978a83158ad02-95567203.pdf,2026-03-01T10:01:42.875485
Andhra Pradesh,Large,2025-26,2026,1,January,10,fiscal_deficit,Fiscal Surplus (+) / Deficit (-),Fiscal Position,Fiscal,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-JANUARY-2026-0699460be0c7b78-67687389.pdf,2026-03-01T10:01:45.597316
Andhra Pradesh,Large,2024-25,2024,4,April,1,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-April-MKI-2024-06673f1ef286882-98187593.pdf,2026-03-01T10:01:48.421935
Andhra Pradesh,Large,2024-25,2024,6,June,3,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JUNE-2024-0669a29d62c52a5-99396257.pdf,2026-03-01T10:01:58.151065
Andhra Pradesh,Large,2024-25,2024,7,July,4,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JULY-2024-066c6db1b258be4-18436783.pdf,2026-03-01T10:02:01.098735
Andhra Pradesh,Large,2024-25,2024,8,August,5,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Aug-2024-pdf-066eabd88c3a9f1-85719571.pdf,2026-03-01T10:02:03.736805
Andhra Pradesh,Large,2024-25,2024,9,September,6,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-SEP-2024-0671235d00bb119-50961796.pdf,2026-03-01T10:02:06.500074
Andhra Pradesh,Large,2024-25,2024,10,October,7,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-OCT-2024-06735e323b73aa9-57427635.pdf,2026-03-01T10:02:09.436225
Andhra Pradesh,Large,2024-25,2024,11,November,8,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-Nov-2024-067654001a86802-62774639.pdf,2026-03-01T10:02:12.311354
Andhra Pradesh,Large,2024-25,2024,12,December,9,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-DEC-2024-0678e4929a26950-14469523.pdf,2026-03-01T10:02:16.011041
Andhra Pradesh,Large,2024-25,2025,1,January,10,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JAN-2025-0682342837ccc17-03932126.pdf,2026-03-01T10:02:18.811224
Andhra Pradesh,Large,2024-25,2025,2,February,11,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-FEB-2025-067d964048f0690-77996518.pdf,2026-03-01T10:02:21.802956
Andhra Pradesh,Large,2025-26,2025,4,April,1,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APR-2025-0682c12169c8209-23080186.pdf,2026-03-01T10:01:15.924333
Andhra Pradesh,Large,2025-26,2025,5,May,2,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-May-2025-068514fae8b9b69-85138769.pdf,2026-03-01T10:01:18.663079
Andhra Pradesh,Large,2025-26,2025,6,June,3,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-June-2025-06878de8b057f67-40941423.pdf,2026-03-01T10:01:22.060589
Andhra Pradesh,Large,2025-26,2025,7,July,4,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-0689db4679c8b50-96497922.pdf,2026-03-01T10:01:24.620355
Andhra Pradesh,Large,2025-26,2025,7,July,4,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-revised-068a31a53d3be62-35480581.pdf,2026-03-01T10:01:27.923636
Andhra Pradesh,Large,2025-26,2025,8,Aug,5,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Aug2025-068c9532e4b64f1-53918245.pdf,2026-03-01T10:01:30.655520
Andhra Pradesh,Large,2025-26,2025,10,October,7,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Oct-2025-0691c174d58f602-23497304.pdf,2026-03-01T10:01:36.800146
Andhra Pradesh,Large,2025-26,2025,11,November,8,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-2025-0693ffd55568e30-78479768.pdf,2026-03-01T10:01:39.881817
Andhra Pradesh,Large,2025-26,2025,12,Dec,9,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-DEC-2025-06978a83158ad02-95567203.pdf,2026-03-01T10:01:42.875485
Andhra Pradesh,Large,2025-26,2026,1,January,10,grants_in_aid,Grants-in-Aid & Contribution,Receipts,Grants,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-JANUARY-2026-0699460be0c7b78-67687389.pdf,2026-03-01T10:01:45.597316
Andhra Pradesh,Large,2024-25,2024,4,April,1,interest_payments,Interest Payments,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-April-MKI-2024-06673f1ef286882-98187593.pdf,2026-03-01T10:01:48.421935
Andhra Pradesh,Large,2024-25,2024,6,June,3,interest_payments,Interest Payments,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JUNE-2024-0669a29d62c52a5-99396257.pdf,2026-03-01T10:01:58.151065
Andhra Pradesh,Large,2024-25,2024,7,July,4,interest_payments,Interest Payments,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JULY-2024-066c6db1b258be4-18436783.pdf,2026-03-01T10:02:01.098735
Andhra Pradesh,Large,2024-25,2024,8,August,5,interest_payments,Interest Payments,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Aug-2024-pdf-066eabd88c3a9f1-85719571.pdf,2026-03-01T10:02:03.736805
Andhra Pradesh,Large,2024-25,2024,9,September,6,interest_payments,Interest Payments,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-SEP-2024-0671235d00bb119-50961796.pdf,2026-03-01T10:02:06.500074
Andhra Pradesh,Large,2024-25,2024,10,October,7,interest_payments,Interest Payments,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-OCT-2024-06735e323b73aa9-57427635.pdf,2026-03-01T10:02:09.436225
Andhra Pradesh,Large,2024-25,2024,11,November,8,interest_payments,Interest Payments,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-Nov-2024-067654001a86802-62774639.pdf,2026-03-01T10:02:12.311354
Andhra Pradesh,Large,2024-25,2024,12,December,9,interest_payments,Interest Payments,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-DEC-2024-0678e4929a26950-14469523.pdf,2026-03-01T10:02:16.011041
Andhra Pradesh,Large,2024-25,2025,1,January,10,interest_payments,Interest Payments,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Word-JAN-2025-0682342837ccc17-03932126.pdf,2026-03-01T10:02:18.811224
