state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Uttar Pradesh,Large,2025-26,2025,9,September,6,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2025-068f236f8c01550-66343235.pdf,2026-03-01T10:50:56.781178
Uttar Pradesh,Large,2025-26,2025,10,October,7,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-10-2025-0691c5ad0a4be80-69990310.pdf,2026-03-01T10:50:59.182017
Uttar Pradesh,Large,2025-26,2025,11,November,8,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-2025-0693feb3a4f45d6-63117654.pdf,2026-03-01T10:51:01.629265
Uttar Pradesh,Large,2025-26,2025,12,December,9,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-DEC-2025-06968cf2584e023-80618651.pdf,2026-03-01T10:51:04.257627
Uttar Pradesh,Large,2024-25,2024,4,April,1,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2024-24-05-2024-0665038f8049ab6-56435422.pdf,2026-03-01T10:51:06.653914
Uttar Pradesh,Large,2024-25,2024,8,August,5,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,3.0,290.08,,8.79,14.44,-5.65,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2024-066ec0750cd03d2-84192477.pdf,2026-03-01T10:51:09.137233
Uttar Pradesh,Large,2024-25,2024,12,Dec,9,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,3.0,728.76,438.68,22.09,22.99,-0.9,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Dec-2024-0678e2eec6771c6-03331965.pdf,2026-03-01T10:51:11.831502
Uttar Pradesh,Large,2025-26,2025,7,July,4,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,7.0,20.07,,0.62,8.45,-7.83,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-068a46d35414a36-03282461.pdf,2026-03-01T10:50:51.579539
Uttar Pradesh,Large,2025-26,2025,8,August,5,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,7.0,24.45,4.379999999999999,0.75,8.79,-8.04,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-08-2025-068cd308ed7bcc4-49437760.pdf,2026-03-01T10:50:53.923373
Uttar Pradesh,Large,2025-26,2025,9,September,6,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,7.0,29.8,5.350000000000001,0.92,9.11,-8.19,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2025-068f236f8c01550-66343235.pdf,2026-03-01T10:50:56.781178
Uttar Pradesh,Large,2025-26,2025,10,October,7,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,7.0,33.67,3.870000000000001,1.04,9.78,-8.74,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-10-2025-0691c5ad0a4be80-69990310.pdf,2026-03-01T10:50:59.182017
Uttar Pradesh,Large,2025-26,2025,11,November,8,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,7.0,41.09,7.420000000000002,1.27,9.84,-8.57,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-2025-0693feb3a4f45d6-63117654.pdf,2026-03-01T10:51:01.629265
Uttar Pradesh,Large,2025-26,2025,12,December,9,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,7.0,108.69,67.6,3.35,22.09,-18.74,,,OK,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-DEC-2025-06968cf2584e023-80618651.pdf,2026-03-01T10:51:04.257627
