state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Kerala,Large,2025-26,2025,6,June,3,total_expenditure,Total Expenditure,Expenditure,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-jUNE-2025-English-06870ff0596b584-84700173.pdf,2026-03-01T10:23:34.889311
Kerala,Large,2025-26,2025,7,July,4,total_expenditure,Total Expenditure,Expenditure,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-English-0689acb2cc1e311-29196604.pdf,2026-03-01T10:23:37.416234
Kerala,Large,2025-26,2025,8,August,5,total_expenditure,Total Expenditure,Expenditure,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2025-English-068c3fa6fb097c3-09402998.pdf,2026-03-01T10:23:40.412444
Kerala,Large,2025-26,2025,9,September,6,total_expenditure,Total Expenditure,Expenditure,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2025-English-068ee1e91765cc0-18860185.pdf,2026-03-01T10:23:44.512245
Kerala,Large,2025-26,2025,10,October,7,total_expenditure,Total Expenditure,Expenditure,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October-2025-English-0691af3f4ec0af3-44104283.pdf,2026-03-01T10:23:47.296952
Kerala,Large,2025-26,2025,11,November,8,total_expenditure,Total Expenditure,Expenditure,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2025-English-0693aa7020166f8-73264331.pdf,2026-03-01T10:23:49.781398
Kerala,Large,2025-26,2025,12,December,9,total_expenditure,Total Expenditure,Expenditure,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2025-English-06964dadb861b81-72688081.pdf,2026-03-01T10:23:52.180978
Kerala,Large,2025-26,2026,1,January,10,total_expenditure,Total Expenditure,Expenditure,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2026-English-0698c6ffea770e7-92880186.pdf,2026-03-01T10:23:54.900897
Kerala,Large,2024-25,2024,4,April,1,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-24-English-066c32f95efaf98-09978979.pdf,2026-03-01T10:23:57.556019
Kerala,Large,2024-25,2024,5,May,2,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May24-English-066c31e9c096897-35340877.pdf,2026-03-01T10:24:00.353618
Kerala,Large,2024-25,2024,6,June,3,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-24-English-066c31e5bbc0e70-95081803.pdf,2026-03-01T10:24:02.853463
Kerala,Large,2024-25,2024,7,July,4,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-24-English-066c31ed197e010-04753888.pdf,2026-03-01T10:24:05.442296
Kerala,Large,2024-25,2024,8,August,5,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-24-English-066e41a0d8399b1-11682600.pdf,2026-03-01T10:24:08.181052
Kerala,Large,2024-25,2024,9,September,6,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-24-English-1-06707c4ce7a3f45-26513500.pdf,2026-03-01T10:24:10.807317
Kerala,Large,2024-25,2024,11,November,8,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November24-English-0675bbd2027c3d2-24376002.pdf,2026-03-01T10:24:13.462428
Kerala,Large,2024-25,2024,12,December,9,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-24-English-067a59e4b418b32-22497693.pdf,2026-03-01T10:24:15.901615
Kerala,Large,2024-25,2025,1,January,10,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2025-English-067b32e96918cd0-41861784.pdf,2026-03-01T10:24:18.258864
Kerala,Large,2024-25,2025,2,February,11,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-February-2025-English-067d14fc0108662-49433545.pdf,2026-03-01T10:24:20.571372
Kerala,Large,2025-26,2025,4,April,1,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-English-06826fe31876ca7-45473689.pdf,2026-03-01T10:23:29.679708
Kerala,Large,2025-26,2025,5,May,2,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2025-English-0684be368752513-80537452.pdf,2026-03-01T10:23:32.465699
Kerala,Large,2025-26,2025,6,June,3,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-jUNE-2025-English-06870ff0596b584-84700173.pdf,2026-03-01T10:23:34.889311
Kerala,Large,2025-26,2025,7,July,4,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-English-0689acb2cc1e311-29196604.pdf,2026-03-01T10:23:37.416234
Kerala,Large,2025-26,2025,8,August,5,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2025-English-068c3fa6fb097c3-09402998.pdf,2026-03-01T10:23:40.412444
Kerala,Large,2025-26,2025,9,September,6,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2025-English-068ee1e91765cc0-18860185.pdf,2026-03-01T10:23:44.512245
Kerala,Large,2025-26,2025,10,October,7,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October-2025-English-0691af3f4ec0af3-44104283.pdf,2026-03-01T10:23:47.296952
Kerala,Large,2025-26,2025,11,November,8,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2025-English-0693aa7020166f8-73264331.pdf,2026-03-01T10:23:49.781398
Kerala,Large,2025-26,2025,12,December,9,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2025-English-06964dadb861b81-72688081.pdf,2026-03-01T10:23:52.180978
Kerala,Large,2025-26,2026,1,January,10,total_receipts,Total Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2026-English-0698c6ffea770e7-92880186.pdf,2026-03-01T10:23:54.900897
Kerala,Large,2024-25,2024,4,April,1,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-24-English-066c32f95efaf98-09978979.pdf,2026-03-01T10:23:57.556019
Kerala,Large,2024-25,2024,5,May,2,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May24-English-066c31e9c096897-35340877.pdf,2026-03-01T10:24:00.353618
Kerala,Large,2024-25,2024,6,June,3,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-24-English-066c31e5bbc0e70-95081803.pdf,2026-03-01T10:24:02.853463
Kerala,Large,2024-25,2024,7,July,4,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-24-English-066c31ed197e010-04753888.pdf,2026-03-01T10:24:05.442296
Kerala,Large,2024-25,2024,8,August,5,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-24-English-066e41a0d8399b1-11682600.pdf,2026-03-01T10:24:08.181052
Kerala,Large,2024-25,2024,9,September,6,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-24-English-1-06707c4ce7a3f45-26513500.pdf,2026-03-01T10:24:10.807317
Kerala,Large,2024-25,2024,11,November,8,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November24-English-0675bbd2027c3d2-24376002.pdf,2026-03-01T10:24:13.462428
Kerala,Large,2024-25,2024,12,December,9,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-24-English-067a59e4b418b32-22497693.pdf,2026-03-01T10:24:15.901615
Kerala,Large,2024-25,2025,1,January,10,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2025-English-067b32e96918cd0-41861784.pdf,2026-03-01T10:24:18.258864
Kerala,Large,2024-25,2025,2,February,11,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-February-2025-English-067d14fc0108662-49433545.pdf,2026-03-01T10:24:20.571372
Kerala,Large,2025-26,2025,4,April,1,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-English-06826fe31876ca7-45473689.pdf,2026-03-01T10:23:29.679708
Kerala,Large,2025-26,2025,5,May,2,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May-2025-English-0684be368752513-80537452.pdf,2026-03-01T10:23:32.465699
Kerala,Large,2025-26,2025,6,June,3,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-jUNE-2025-English-06870ff0596b584-84700173.pdf,2026-03-01T10:23:34.889311
Kerala,Large,2025-26,2025,7,July,4,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2025-English-0689acb2cc1e311-29196604.pdf,2026-03-01T10:23:37.416234
Kerala,Large,2025-26,2025,8,August,5,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-2025-English-068c3fa6fb097c3-09402998.pdf,2026-03-01T10:23:40.412444
Kerala,Large,2025-26,2025,9,September,6,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-2025-English-068ee1e91765cc0-18860185.pdf,2026-03-01T10:23:44.512245
Kerala,Large,2025-26,2025,10,October,7,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October-2025-English-0691af3f4ec0af3-44104283.pdf,2026-03-01T10:23:47.296952
Kerala,Large,2025-26,2025,11,November,8,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2025-English-0693aa7020166f8-73264331.pdf,2026-03-01T10:23:49.781398
Kerala,Large,2025-26,2025,12,December,9,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2025-English-06964dadb861b81-72688081.pdf,2026-03-01T10:23:52.180978
Kerala,Large,2025-26,2026,1,January,10,union_taxes_share,State Share of Union Taxes,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-January-2026-English-0698c6ffea770e7-92880186.pdf,2026-03-01T10:23:54.900897
